invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Max Bottles Sold,Percentage Sales
INV-23548800092,2019-11-27,2601,Hy-Vee Food Store / Fairfield,1300 West Burlington Ave,Fairfield,52556.0,POINT (-91.978702 41.006456),51,JEFFERSON,1081500.0,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,6,21.78,6.0,1.58,6,0.02%
INV-23609300026,2019-12-02,4962,Hilltop Grocery,1312 Harrison St,Davenport,52803.0,,82,SCOTT,1091200.0,Neutral Grain Spirits,434,LUXCO INC,41844,Everclear Alcohol,24,375,4.2,6.3,3,18.9,1.12,0.29,3,0.01%
S30348700047,2016-01-25,3162,Nash Finch / Wholesale Food,807 GRANDVIEW,MUSCATINE,52761,POINT (-91.06411300000002 41.408437),70,Muscatine,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.62,11.43,4,45.72,4.0,1.06,4,0.03%
S30466200002,2016-02-01,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1081700.0,DISTILLED SPIRITS SPECIALTY,55,Sazerac North America,973627,Di Amore Quattro Orange,12,1000,9.75,14.63,120,1755.6,120.0,31.7,120,3.48%
S30624700060,2016-02-09,5166,East Side Liquor and Groceries,1116 E NEVADA ST,MARSHALLTOWN,50158,POINT (-92.893113 42.044345),64,Marshall,1052100.0,,420,"Moet Hennessy USA, Inc.",48099,Hennessy VS,24,200,5.74,8.61,24,206.64,4.8,1.27,24,0.15%
S33151100001,2016-06-30,2571,Hy-Vee Food Store #2 / Waterloo,2181 Logan Ave,Waterloo,50703,POINT (-92.337583 42.530476),7,Black Hawk,1701100.0,DECANTERS & SPECIALTY PACKAGES,65,Jim Beam Brands,168,Pinnacle Peach w/ Punch Dispenser,6,750,7.35,11.03,180,1985.4,135.0,35.66,180,1.41%
S30703100053,2016-02-15,3494,Sams Club 6514 / Waterloo,210 EAST TOWER PARK DR,WATERLOO,50702,POINT (-92.353103 42.456374),7,Black Hawk,1081700.0,DISTILLED SPIRITS SPECIALTY,421,"Sazerac Co., Inc.",77487,Tortilla Gold Dss,12,1000,4.51,6.77,768,5199.36,768.0,202.88,768,3.69%
INV-23807400003,2019-12-10,5446,Pump N Pak,1004 Main St.,Rock Valley,51247.0,POINT (-96.294824 43.200164),84,SIOUX,1081500.0,Triple Sec,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.33,3.5,6,21.0,6.0,1.58,6,0.01%
INV-18280700077,2019-03-21,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314,POINT (-91.410401 41.918328),57,LINN,1092100.0,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.0,7.5,900,6750.0,900.0,237.75,900,8.66%
INV-24116900112,2019-12-23,2670,Hy-Vee Food Store / Coralville,2004 8th  St,Coralville,52241.0,POINT (-91.591868 41.682337000000004),52,JOHNSON,1092100.0,Imported Distilled Spirit Specialty,353,"John Ernest Distillery, Inc.",65750,Maestro Agavero Gold,12,1000,7.0,10.5,48,504.0,48.0,12.68,48,0.36%
S30506300012,2016-02-02,2562,Hy-Vee Food Store / Fort Dodge,115 SOUTH 29TH ST,FORT DODGE,50501,POINT (-94.15824700000002 42.504742),94,Webster,1031100.0,100 PROOF VODKA,301,Fifth Generation Inc.,38176,Titos Vodka,12,750,9.65,14.48,108,1563.84,81.0,21.4,108,1.11%
S30600400007,2016-02-09,4559,Osage Payless Foods,"633, CHASE ST",OSAGE,50461,POINT (-92.811539 43.285134),66,Mitchell,1031100.0,100 PROOF VODKA,297,Laird And Company,35918,Five Oclock Vodka,6,1750,7.2,10.8,30,324.0,52.5,13.87,30,0.23%
S33457600258,2016-07-19,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N Lake St,Storm Lake,50588,POINT (-95.200758 42.65318400000001),11,Buena Vista,1081340.0,ROOT BEER SCHNAPPS,380,Phillips Beverage Company,84617,Phillips Root Beer Schnapps,12,1000,5.5,8.25,4,33.0,4.0,1.06,4,0.04%
INV-24014800058,2019-12-18,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,Council Bluffs,51501.0,POINT (-95.8792 41.238092),78,POTTAWATTA,1081500.0,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,48,174.24,48.0,12.68,48,0.12%
S30972000014,2016-02-29,4153,Fareway Stores #067 / Evansdale,215 S EVANS RD,EVANSDALE,50707,POINT (-92.287834 42.475631),7,Black Hawk,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15626,Jameson,12,750,14.99,22.49,60,1349.4,45.0,11.89,60,0.96%
